cheb_K,hidden,nblocks,dropout,lr,weight_decay,H_in,H_out,key,val_MAE,test_MAE
2,32,2,0.1,0.001,0.0,12,12,"{""H_in"": 12, ""H_out"": 12, ""cheb_K"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""nblocks"": 2, ""weight_decay"": 0.0}",0.8748981895849329,0.8689254246584903
2,32,2,0.1,0.001,0.0,12,24,"{""H_in"": 12, ""H_out"": 24, ""cheb_K"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""nblocks"": 2, ""weight_decay"": 0.0}",1.057987217154453,1.0547569776138583
2,32,2,0.1,0.001,0.0,24,12,"{""H_in"": 24, ""H_out"": 12, ""cheb_K"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""nblocks"": 2, ""weight_decay"": 0.0}",0.9861120472550331,0.9867697765895587
2,32,2,0.1,0.001,0.0,24,24,"{""H_in"": 24, ""H_out"": 24, ""cheb_K"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""nblocks"": 2, ""weight_decay"": 0.0}",1.164113652861465,1.1696409374077978
2,32,2,0.1,0.001,0.0001,12,12,"{""H_in"": 12, ""H_out"": 12, ""cheb_K"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""nblocks"": 2, ""weight_decay"": 0.0001}",0.8905006880493874,0.8828603654777875
2,32,2,0.1,0.001,0.0001,12,24,"{""H_in"": 12, ""H_out"": 24, ""cheb_K"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""nblocks"": 2, ""weight_decay"": 0.0001}",1.0851176563044387,1.0810238819224463
2,32,2,0.1,0.001,0.0001,24,12,"{""H_in"": 24, ""H_out"": 12, ""cheb_K"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""nblocks"": 2, ""weight_decay"": 0.0001}",0.9930612137328272,0.9986840236301896
2,32,2,0.1,0.001,0.0001,24,24,"{""H_in"": 24, ""H_out"": 24, ""cheb_K"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""nblocks"": 2, ""weight_decay"": 0.0001}",1.1258127854721058,1.1357071947516262
2,32,2,0.1,0.0001,0.0,12,12,"{""H_in"": 12, ""H_out"": 12, ""cheb_K"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.0001, ""nblocks"": 2, ""weight_decay"": 0.0}",0.9648737060178411,0.9627964180796748
2,32,2,0.1,0.0001,0.0,12,24,"{""H_in"": 12, ""H_out"": 24, ""cheb_K"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.0001, ""nblocks"": 2, ""weight_decay"": 0.0}",1.184325923993356,1.1790379169778276
